Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s]  Tmax[K]  Tvent[K]  K2CO3[kg]  Uvent[m/s]  meanYfu  SMAX
  285    0.285   1509.2   1216.6  8.708e-05  7.329e-01  0.8457  1.70e-07
  286    0.286   1509.1   1215.7  8.751e-05  7.354e-01  0.8450  1.90e-07
  287    0.287   1510.1   1214.9  8.798e-05  7.388e-01  0.8441  1.90e-07
  288    0.288   1511.3   1214.0  8.851e-05  7.434e-01  0.8432  2.19e-07
  289    0.289   1511.2   1213.2  8.911e-05  7.491e-01  0.8423  2.72e-07
  290    0.290   1510.3   1212.4  8.979e-05  7.556e-01  0.8413  3.40e-07
  291    0.291   1509.3   1211.5  9.045e-05  7.615e-01  0.8402  4.10e-07
  292    0.292   1507.8   1210.7  9.093e-05  7.645e-01  0.8393  4.41e-07
  293    0.293   1506.2   1209.9  9.137e-05  7.671e-01  0.8385  3.77e-07
  294    0.294   1508.0   1209.1  9.187e-05  7.711e-01  0.8376  3.24e-07
  295    0.295   1509.7   1208.3  9.229e-05  7.733e-01  0.8367  3.26e-07
  296    0.296   1510.3   1207.5  9.271e-05  7.761e-01  0.8359  2.78e-07
  297    0.297   1510.1   1206.6  9.327e-05  7.812e-01  0.8350  2.59e-07
  298    0.298   1509.3   1205.8  9.387e-05  7.865e-01  0.8340  3.13e-07
  299    0.299   1508.0   1205.0  9.445e-05  7.908e-01  0.8330  3.54e-07
  300    0.300   1506.4   1204.2  9.497e-05  7.945e-01  0.8321  3.56e-07
  301    0.301   1504.5   1203.4  9.555e-05  7.994e-01  0.8311  3.39e-07
  302    0.302   1502.6   1202.6  9.618e-05  8.047e-01  0.8300  3.62e-07
  303    0.303   1514.7   1201.9  9.679e-05  8.098e-01  0.8290  3.89e-07
  304    0.304   1520.6   1201.1  9.753e-05  8.166e-01  0.8279  4.01e-07
  305    0.305   1522.5   1200.3  9.815e-05  8.215e-01  0.8268  4.57e-07
